Reference	Year	Sample.ID	SiO2.liq	TiO2.liq	Al2O3.liq	FeOt.liq	MnO.liq	MgO.liq	CaO.liq	Na2O.liq	K2O.liq	Cr2O3.liq	P2O5.liq	H2O.liq	SiO2.cpx	TiO2.cpx	Al2O3.cpx	FeOt.cpx	MnO.cpx	MgO.cpx	CaO.cpx	Na2O.cpx	K2O.cpx	Cr2O3.cpx	P_GPa	T_K
"Feig, S.T., Koepke, J., Snow, J.E. (2006)"	2006	72	52.6	0.95	17.71	8.66	0.12	5.14	7.74	4.56	0.15			2.8	50.9	0.44	4.89	8.39	0.2	16.36	18.1	0.59		0.17	0.502	1373.15
"Feig, S.T., Koepke, J., Snow, J.E. (2006)"	2006	75	49.9	0.36	17.57	6.1		8.14	11.34	3.01	0.04			4.4	50.1	0.18	5.89	4.8		16.1	21.37	0.41		0.8	0.5017	1403.15
"Feig, S.T., Koepke, J., Snow, J.E. (2006)"	2006	76	52.1	0.7	17.48	8.16	0.17	6.27	8.82	4.01	0.08		0.05	2.7	50.1	0.36	5.48	7.28	0.16	16.15	19.01	0.52		0.31	0.5017	1403.15
"Feig, S.T., Koepke, J., Snow, J.E. (2006)"	2006	78	48	0.33	16.71	5.91		7.26	11.33	2.65	0.1			9	51.1	0.16	4.1	4.21		15.94	23.56	0.26		0.71	0.5015	1333.15
"Feig, S.T., Koepke, J., Snow, J.E. (2006)"	2006	79	51.6	0.44	19.2	6.32	0.11	5.19	7.67	4.31	0.06			6.3	48.6	0.35	7.09	7.01	0.15	14.99	19.24	0.51		0.16	0.5015	1333.15
"Feig, S.T., Koepke, J., Snow, J.E. (2006)"	2006	82	51.5	0.22	19.02	4.42	0.14	4.08	8.71	2.99	0.05			8.8	47.5	0.32	7.66	7.41	0.15	13.48	23.16	0.35		0.11	0.5032	1253.15
Feig (2010)	2010	1	53.4	0.5	18.53	4.57		7.39	11.28	3.67					52.5	0.3	3.52	5.9	0.18	17.87	19.34	0.32			0.2017	1413.15
Feig (2010)	2010	2	52.3	0.5	17.28	6.93		7.63	11.77	3.37	0.09				51.4	0.28	4.52	6.01	0.18	17.63	18.76	0.42			0.2056	1453.15
"Fram, M.S., Longhi, J. (1992)"	1992	500B-19	55	1.38	14.74	9.56	0.17	3.52	8.48	3.76	1.66	0.01	0.62		52.3	0.77	3.26	8.7	0.21	14.97	20.24	0.53		0.06	1	1493.15
"Fram, M.S., Longhi, J. (1992)"	1992	500B-32	55.7	1.05	18.93	6.39	0.1	2.4	9.05	4.07	1.41	0.01	0.27		48.6	0.52	15.75	6.08	0.13	9.44	19.31	1.94		0.08	2	1598.15
"Fram, M.S., Longhi, J. (1992)"	1992	500B-44	57.9	0.6	22.24	3.72	0.07	1.25	9.08	4.59	1.1		0.44		44.5	0.46	25.76	3.48	0.08	5.05	17.53	3.12		0.01	2.7	1703.15
"Fram, M.S., Longhi, J. (1992)"	1992	HLCA-15	50	2.08	18.47	11.26	0.14	5.58	8.03	3.4	0.52	0.01	0.18		49.7	0.65	11.4	11.24	0.21	15.77	11.29	1.07		0.17	1.5	1573.15
"Fram, M.S., Longhi, J. (1992)"	1992	HLCA-27	50.4	1.95	17.82	10.74	0.16	5.82	8.55	3.37	0.49	0.02	0.18		48.7	0.77	11.66	9.81	0.19	15.19	12.92	1.15		0.22	1.5	1593.15
"Fram, M.S., Longhi, J. (1992)"	1992	HLCA-28	50.6	2.18	17.98	11.63	0.13	5.81	8.23	3.14	0.56	0.03	0.22		49	1.14	9.57	13.02	0.24	17.69	9.47	0.75		0.15	1.3	1533.15
"Fram, M.S., Longhi, J. (1992)"	1992	HLCA-31	49.7	1.98	18.05	11.13	0.14	5.92	8.38	3.34	0.47	0.02	0.18		49.4	0.72	11.21	10.36	0.22	16.23	11.81	0.98		0.27	1.3	1563.15
"Fram, M.S., Longhi, J. (1992)"	1992	HLCA-32	50.2	1.97	17.48	11.42	0.15	6.28	8.65	3.14	0.49	0.02	0.16		50	0.59	7.84	12	0.23	19.71	8.8	0.6		0.29	1.15	1548.15
Freda et al. (1997)	1997	1	51.01	1.22	18.54	6.14	0.23	3.1	9.09	3.24	6.43	0	0.97	3.6	44.77	1.25	9.14	10.46	0.31	11.2	22.23	0.6	0	0	0.36	1573.5
Freda et al. (1997)	1997	2	50.47	1.28	17.04	7.66	0.25	4.43	9.72	3.19	5.68	0	0.25	4.22	45.18	1.02	7.1	9.15	0.16	12.28	23.1	0.25	0.05	0	0.422	1473.5
Freda et al. (1997)	1997	3	53.12	0.64	19.39	4.37	0.14	0.73	6.86	3.45	10.78	0	0.51	7.62	43.83	0.81	6.76	10.43	0.09	11.82	23.26	0.18	0.03	0	0.762	1423.5
Freda et al. (1997)	1997	4	48.42	0.86	15.34	7.63	0.16	5.49	11.98	1.87	7.65	0	0.59	1.94	45.41	1.07	9.39	8.24	0.07	11.67	24.06	0.26	0.14	0	0.194	1473.5
Freda et al. (1997)	1997	5	51.57	0.94	18.53	6.02	0.18	3.19	6.33	3.28	8.96	0	0.99	2.17	46.33	1.08	8.27	8.24	0.22	12.4	22.87	0.31	0	0	0.217	1423.5
Freda et al. (1997)	1997	6	51.57	0.94	18.53	6.02	0.18	3.19	6.33	3.28	8.96	0	0.99	2.17	51.06	0.76	3.89	5.77	0.08	15.04	23.92	0.14	0	0	0.217	1423.5
Freda et al. (1997)	1997	7	52.33	0.77	19.63	4.68	0.19	2.02	5.28	4.59	9.9	0	0.62	2.39	45.66	1.22	9.98	8.66	0.1	10.53	22.27	0.75	0.1	0	0.239	1323.5
Freda et al. (1997)	1997	8	53.38	0.58	20.15	5.75	0.19	1.57	4.33	4.17	9.42	0	0.48	2.55	44.94	1.2	9.86	8.88	0.2	11.38	22.9	0.39	0	0	0.255	1323.5
Freda et al. (1997)	1997	9	53.38	0.58	20.15	5.75	0.19	1.57	4.33	4.17	9.42	0	0.48	2.55	52.39	0.48	2.4	4.86	0.17	16.21	23.9	0.07	0	0	0.255	1323.5
Freda et al. (1997)	1997	10	52.18	0.85	19.86	5.02	0.22	2.12	5.05	3.81	9.75	0	1.14	2.62	54.24	0.24	1.35	3.1	0.07	17.26	24.43	0.11	0	0	0.262	1373.5
Freda et al. (1997)	1997	11	52.18	0.85	19.86	5.02	0.22	2.12	5.05	3.81	9.75	0	1.14	2.62	46.85	1.16	7.26	8.97	0.14	12.17	22.81	0.4	0	0	0.262	1373.5
Freda et al. (1997)	1997	12	49.59	1.03	15.18	8.41	0.16	5.91	10.34	2.15	6.53	0	0.7	2.79	48.29	0.69	5.93	7.5	0.15	13.3	22.96	0.34	0	0	0.279	1473.5
Freda et al. (1997)	1997	13	49.59	1.03	15.18	8.41	0.16	5.91	10.34	2.15	6.53	0	0.7	2.79	51.22	0.82	4.01	5.55	0.1	14.81	24.15	0.11	0	0	0.279	1473.5
Freda et al. (1997)	1997	14	49.06	0.89	14.91	7.55	0.19	5.53	11.56	1.86	7.91	0	0.55	3	46.33	0.88	8.08	7.51	0.09	12.24	23.79	0.25	0	0	0.3	1473.5
Freda et al. (1997)	1997	15	48.85	0.95	15.7	7.73	0.19	4.69	10.34	2.21	8.49	0	0.84	3.11	46.18	0.92	9.01	7.46	0.11	12.17	23.72	0.27	0	0	0.311	1423.5
"Fujii, T., Bougault, H. (1983)"	1983	13L1	49.8	0.85	15.7	8.23	0.1	10.1	11.7	2.32	0.13	0.04	0.13		52.5	0.22	5.52	4.93	0.34	20.7	15.6	0.35		0.57	1.05	1563.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B277g	43.7	0.59	16.8	7.35	0.16	11.92	10.48	2.17	0.09	0.08	0.08	5	51.7	0.19	7.4	3.8	0.08	17.7	18.8	0.6		0.6	1.6	1528.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B287	46.9	0.66	17.9	8.41	0.12	11.41	10.71	2.5	0.12	0.07	0.13		51.7	0.25	8.4	4.8	0.14	19.9	15	0.56		0.44	1.2	1588.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B292	48	0.68	18.3	8.3	0.16	11.16	10.57	2.5	0.12	0.13	0.11		51.7	0.26	8.9	4.8	0.1	20.1	14.3	0.52		0.35	1.2	1603.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B302	46.4	0.68	17.2	8.9	0.11	12.5	10.75	2.29	0.07	0.13	0.15		51.9	0.2	8.8	5.1	0.11	20.9	12.8	0.62		0.29	1.6	1628.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B303	47.5	0.66	17.82	8.1	0.1	11.8	10.98	2.17	0.08	0.17	0.12		51.5	0.18	8	4.9	0.1	20.9	13.8	0.49		0.49	1.2	1618.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B304	44.6	0.59	17.45	6.85	0.08	10.72	10.72	2.21	0.08	0.05	0.16	5.99	51.3	0.19	7.2	3.9	0.09	17.6	19.1	0.5		0.5	1.2	1488.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B329	44.8	0.63	17.99	7.21	0.14	9.39	9.8	2.31	0.12	0.08	0.08	6.26	51.4	0.22	7.1	3.9	0.09	17.5	19.3	0.51		0.31	1.2	1458.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B330	45.1	0.6	17.63	6.92	0.12	10.26	10.22	2.15	0.1	0.11	0.1	5.06	52	0.18	6.2	3.9	0.09	18	18.9	0.43		0.8	1.2	1473.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B333	45.8	0.61	17.06	6.87	0.14	11.44	10.91	2.03	0.13	0.09	0.09	3.3	52.4	0.14	6	4.1	0.08	19.4	17.6	0.49		0.9	1.2	1518.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B348	43.5	0.64	16.84	7.3	0.15	11.78	10.52	2.26	0.05	0.09	0.06	5.3	51.5	0.15	7.7	3.8	0.07	18.1	18.3	0.6		0.48	1.6	1518.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B359	43.9	0.66	17.19	7.36	0.08	11.79	10.4	2.37	0.12	0.08	0.15	4.9	51	0.17	8	3.9	0.1	17.8	18.1	0.66		0.37	1.6	1533.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B365	43.9	0.64	15.41	8.21	0.12	13.36	10.25	2.2	0.1	0.15	0.09	5.3	52.7	0.12	6.2	4.1	0.09	19.4	17.3	0.48		0.26	2	1563.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B366	44.2	0.66	16.82	7.77	0.13	11.43	9.86	2.42	0.11	0.12	0.16	4.8	51.6	0.19	7.1	4.1	0.06	18.2	18.4	0.45		0.32	1.6	1503.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B392	46.2	0.68	18	6.4	0.08	8.48	8.82	3	0.44	0.06	0.22	7.87	51.9	0.28	6.7	4.2	0.12	17.2	19.2	0.62		0.65	1.2	1443.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B394	46.3	0.6	17.08	8.62	0.16	12.99	10.66	2.22	0.12	0.18	0.14		51.5	0.2	8.7	4.6	0.11	20.6	13.9	0.63		0.31	1.6	1643.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B399	43.6	0.65	15.03	7.74	0.11	12.7	9.84	2.41	0.12	0.07	0.21	6.8	53.1	0.17	6	3.6	0.1	19	18	0.76		0.18	2	1548.15
"Gaetani, G.A., Grove, T.L. (1998)"	1998	B432	45.8	1.26	18.13	6.97	0.17	8.76	8.91	3.59	0.48	0.02		6.2	51.6	0.53	7.7	3.8	0.06	17.2	18.9	0.8		0.61	1.2	1458.15
"Gee, L.L., Sack, R.O. (1988)"	1988	12-A-3	40	2.01	16.53	10.8	0.72	2.44	14.15	4.88	4.08	0.04	2.14		40	3.88	11.88	10.98	0.22	8.25	23.14	0.59	0.23	0.03	0.0001	1338.15
"Gee, L.L., Sack, R.O. (1988)"	1988	12-B-14	41	2	17.58	10.39	0.5	2.31	13.1	5.4	4.39		1.82		38.9	3.71	12.2	12.18		7.4	23.26	0.47	0.1		0.0001	1338.15
"Gee, L.L., Sack, R.O. (1988)"	1988	12-B-9	40.6	0.75	18.4	7.72	0.2	2.45	17.78	4.41	3.38		1.81		38.2	2.6	14.83	10.07	0.22	7.46	23.5	0.3	0.08	0.03	0.0001	1338.15
"Gee, L.L., Sack, R.O. (1988)"	1988	12-C-22	40.9	0.82	17.72	7.79	0.2	2.37	18.17	4.32	3.8		1.93		37.8	3.56	15.13	9.58		7.79	23.46	0.39	0.24		0.0001	1338.15
"Gee, L.L., Sack, R.O. (1988)"	1988	13-A-3	44.4	0.9	20.9	6.04	0.34	3.89	10.03	6.32	5.68		0.89		48.2	1.92	6.84	5.23	0.22	13.03	24.05	0.32	0.1	0.06	0.0001	1363.15
"Gee, L.L., Sack, R.O. (1988)"	1988	13-B-10	42.4	1.25	19.62	7.35	0.39	4.16	11.79	5.86	5.63	0.01	1.29		43.1	2.94	11.5	6.58	0.18	10.82	24.05	0.32	0.1	0.08	0.0001	1363.15
"Gee, L.L., Sack, R.O. (1988)"	1988	13-B-11	43.4	1.71	18.68	7.63	0.27	4.17	9.65	6.57	5.83		1.48		45.2	2.45	8.2	7.21	0.13	12.1	22.87	0.43	0.06		0.0001	1363.15
"Gee, L.L., Sack, R.O. (1988)"	1988	13-B-7	44.4	0.32	20.76	6.65	0.2	3.9	11.15	6.38	5.31		1.35		49	1.41	5.26	4.32	0.1	15.18	23.3	0.32	0.06	0.1	0.0001	1363.15
"Gee, L.L., Sack, R.O. (1988)"	1988	14-B-12	43.7	1.23	20.02	6.15	0.32	4.34	11.6	5.77	5.99		0.68		41.9	3.04	12.69	6.99	0.19	10.35	24.36	0.27	0.1		0.0001	1372.15
"Gee, L.L., Sack, R.O. (1988)"	1988	14-B-14	45.5	0.78	21.58	4.25	0.11	3.8	9.55	6.82	6.29		0.49		48.2	1.29	6.58	4.1	0.09	13.83	24.33	0.3	0.11	0.27	0.0001	1372.15
"Gee, L.L., Sack, R.O. (1988)"	1988	14-B-8	43.4	0.91	20.23	6.23	0.39	4.57	12.59	5.24	5.58		0.81		48	1.45	7.86	4.6	0.19	13.39	24.46	0.24	0.09	0.05	0.0001	1372.15
"Gee, L.L., Sack, R.O. (1988)"	1988	6-B-10	42.9	2.52	17.52	10.37	0.27	4.22	11.23	5.45	5.22	0.04	1.25		41.1	2.94	9.95	12.33	0.15	10	23.46	0.42	0.11	0.04	0.0001	1353.35
"Gee, L.L., Sack, R.O. (1988)"	1988	6-C-15	44.7	1.7	19.45	6.07	0.19	4	8.31	6.83	6.92		1.6		44.7	2.74	7.78	8.31	0.13	12.39	23.21	0.87	0.45		0.0001	1353.35
"Gee, L.L., Sack, R.O. (1988)"	1988	7-A-4	45.3	1.71	19.14	5.64	0.25	3.39	7.19	8.12	7.01		1.5		43.2	2.54	9.16	8.6	0.25	11.48	23.92	0.75	0.31	0.06	0.0001	1345.25
"Grove, T.L., Bryan, W.B. (1983)"	1983	AII-32-12-6-1	52.9	2.09	13.9	10.2	0.2	6.92	10.8	1.8	0.49	0.04			51.4	0.64	3.29	6.1	0.2	16.9	20.3	0.17		0.81	0.0001	1439.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	AII-32-12-6-10	52.1	1.36	14.3	9.46	0.18	7.8	11.5	1.76	0.41	0.12			51.9	0.45	3.34	5.11	0.1	17.3	19.7	0.22		1.03	0.0001	1454.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	AII-32-12-6-2	51	1.8	14	10.4	0.19	7.01	11.4	2.11	0.48	0.03			51	0.66	3.39	5.78	0.17	16.6	20.8	0.19		0.81	0.0001	1449.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	AII-32-12-6-3	51.6	1.58	13.9	9.68	0.16	7.71	11.8	1.69	0.38	0.06			51.7	0.46	2.67	4.92	0.14	17	20.8	0.19		0.99	0.0001	1447.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	AII-32-12-6-5	51.8	1.93	13.8	9.65	0.21	7.2	11.4	2.1	0.54	0.04			51.7	0.45	2.81	5.37	0.2	17.2	20.4	0.25		0.86	0.0001	1438.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	AII-32-12-6-6	50.9	2.35	12.8	13.1	0.19	6.23	10.4	1.8	0.52	0.09			51.6	0.75	3.42	8.03	0.2	16.4	19.2	0.25		0.47	0.0001	1410.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	AII-32-12-6-8	53.1	1.41	14.3	7.87	0.18	8.13	11.8	1.69	0.41	0.1			52.3	0.41	3.02	4.35	0.12	18	19.6	0.21		1.01	0.0001	1466.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	ALV-525-4b-11	51	1.43	13.6	11.2	0.1	7.34	11.5	1.48	0.17	0.05			52.6	0.42	2.64	6.55	0.17	17.2	19.6	0.22		0.64	0.0001	1439.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	ALV-525-4b-15	51.1	2.43	12.9	11.5	0.13	7.3	11.4	1.47	0.23	0.01			50.8	0.8	4.04	7.62	0.22	16.5	18.8	0.2	0.05	0.43	0.0001	1440.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	ALV-525-4b-2	50.6	1.23	14	10.8	0.19	7.41	12.3	1.89	0.17	0.12			51.9	0.37	3.21	5.86	0.16	16.7	20.2	0.19		0.74	0.0001	1460.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	ALV-525-4b-4	50.6	1.91	12.7	12.5	0.12	6.68	11	2.02	0.21	0.03			52.8	0.42	2.75	7.54	0.15	17.5	18.3	0.21		0.42	0.0001	1429.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	ALV-528-1-1-11	51.9	1.28	13.9	11.6	0.18	7.62	11.7	1.42	0.14	0.05			52.6	0.39	2.66	6.98	0.18	17.4	18.9	0.21		0.41	0.0001	1439.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	ALV-528-1-1-15	51.1	1.65	13.2	12.5	0.1	7.32	11.4	1.39	0.18	0.03			51.5	0.43	2.75	7.49	0.21	16.8	19.1	0.18		0.52	0.0001	1440.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	ALV-528-1-1-17	50	0.76	14.2	10	0.15	9.01	13.8	1.5	0.13	0.09			52.2	0.16	2.69	4.72	0.09	18	20.8	0.1		1.08	0.0001	1466.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	ALV-528-1-1-2	49.5	1.08	14.3	11.8	0.16	7.47	12.7	1.98	0.14	0.05			52.7	0.31	2.61	6.1	0.14	17.1	20.5	0.25		0.69	0.0001	1460.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	ALV-528-1-1-30	50.8	1.12	13.8	10.7	0.19	7.8	12.2	1.46	0.14	0.08			52.1	0.31	2.69	5.75	0.16	17.5	20.2	0.19		0.66	0.0001	1449.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	ALV-528-1-1-4	50.4	1.51	12.6	13.6	0.14	6.61	11.2	1.25	0.14	0.05			53	0.43	2.29	8.16	0.21	17.5	18.5	0.13		0.39	0.0001	1429.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	II-96-6-42-1	52	2.33	13.9	10.2	0.2	6.81	11	1.79	0.3	0.01			52.3	0.59	2.05	6.15	0.2	17.4	20.1	0.2		0.34	0.0001	1439.15
"Grove, T.L., Bryan, W.B. (1983)"	1983	II-96-6-42-6	51.2	2.66	12.6	12.8	0.21	6.16	10	2.12	0.34	0.02			51.1	0.79	2.47	7.98	0.24	16.5	19.1	0.29		0.32	0.0001	1410.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 20	55.3	0.97	16.4	6.55	0.15	3.27	6.66	4	1.38		0.22	5.2	51	0.63	2.75	8.19	0.22	15.6	20.5	0.28		0.2	0.1	1273.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 23	58.9	1.14	16.06	5.91	0.09	2.01	4.9	4.48	1.81		0.27	4.4	51.3	0.78	3.04	9.5	0.27	15.3	20.1	0.33		0.07	0.1	1258.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 26	60.2	0.97	16.09	4.85	0.1	1.89	4.5	4.54	1.89		0.27	4.8	50.1	1.04	3.28	11.3	0.33	14.5	18.9	0.34		0.05	0.1	1228.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 27	62.4	0.8	15.69	3.93	0.08	1.32	3.42	4.76	2.43		0.27	4.9	51.3	0.77	2.98	10.6	0.3	14.7	18.8	0.37		0.03	0.1	1213.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 28	63.8	0.7	15.56	3.24	0.05	1.11	2.88	4.93	2.76		0.2	4.8	50.9	0.89	3.28	10.5	0.31	15.2	18.9	0.34		0.02	0.1	1198.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 29	63.7	0.77	15.15	2.68	0.1	1.32	3.01	4.95	2.74		0.25	5.3	51.1	0.87	3.38	10.8	0.34	14.4	18.9	0.35		0.03	0.1	1183.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 39	56.2	0.98	16.58	6.21	0.11	2.43	5.63	4.3	1.51	0.03	0.21	5.8	51.4	0.74	2.86	8.83	0.25	15.6	20.6	0.3		0.14	0.15	1228.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 41	64.5	0.46	15.06	3.18	0.02	0.72	2.32	5.08	3.2		0.13	5.3	51	0.77	2.5	12.6	0.37	14	18.5	0.36			0.15	1188.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 45	56.5	0.79	16.81	5.93	0.11	2.27	5.6	3.95	1.55	0.07	0.26	6.1	51.9	0.71	2.76	8.73	0.26	15.4	20.3	0.28		0.09	0.2	1253.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 52	53.8	1	17.09	5.98	0.12	3.46	7.42	3.66	1.08	0.05	0.24	6.1	51.4	0.7	2.94	7.75	0.2	15.4	20.8	0.31		0.15	0.2	1273.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 30	54.3	0.9	17.24	6.42	0.03	3.41	7.13	3.76	1.27		0.25	5.3	52.3	0.61	2.58	8.22	0.22	15.8	20.7	0.29		0.16	0.15	1273.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 33	57.4	1.07	16.86	6.04	0.08	2.53	5.73	4.24	1.54		0.29	4.2	52.2	0.64	2.87	8.51	0.22	15.8	20.2	0.33		0.11	0.15	1258.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1140mf 38	55.1	0.92	16.86	6.23	0.12	2.89	6.33	4.05	1.4	0.03	0.2	5.8	51.5	0.68	2.76	8.95	0.25	15.8	20.1	0.29		0.13	0.15	1243.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1544m 2	56.2	0.97	16.98	5.71	0.13	3.23	6.44	4.08	1.35		0.23	4.6	52.3	0.62	2.75	6.37	0.18	16.4	21.3	0.27		0.4	0.1	1288.15
"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997)"	1997	1544m 7	54.8	0.97	17.07	5.79	0.07	3.25	6.8	4.08	1.27		0.23	5.7	52.3	0.62	2.52	6.48	0.16	16.3	21.3	0.27		0.38	0.1	1303.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	85-41-5	58.7	1.01	15.5	6.16	0.06	4.63	7.6	3.93	1.11	0.03	0.23		53.5	0.38	2.21	5.89	0.14	19	18.9	0.19		0.6	0.0001	1423.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	85-41-5B	57	0.62	16.33	4.36	0.1	4.19	6.95	3.6	0.9		0.23	5.59	53.6	0.27	1.79	4.72	0.14	18.4	20.9	0.14		0.7	0.2	1313.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	85-41-6	63	1.33	14.8	6.21	0.06	3.12	6.03	4.02	1.6		0.33		53.2	0.5	2.16	7.56	0.22	18.7	17.6	0.12		0.23	0.0001	1398.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	85-41-7	63.1	1.16	14.5	5.98	0.11	3.49	6.55	3.8	1.47		0.37		53.4	0.49	1.66	7.34	0.19	19.6	17.5	0.11		0.47	0.0001	1393.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	85-41-7B	57.7	0.65	17.19	3.91	0.08	2.87	5.92	3.86	1.02		0.21	6.55	52.7	0.42	2.36	5.69	0.17	17.1	21.5	0.17		0.49	0.2	1293.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	85-41-8	60	0.93	14.9	5.77	0.1	4.66	7.8	3.43	2.34		0.25		53.4	0.34	1.95	5.95	0.17	19.2	18.3	0.12		0.46	0.0001	1433.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	85-41-8B	60.7	0.86	17.14	4.08	0.08	2.51	5.22	4.46	1.41		0.32	3.14	52.8	0.5	2.23	6.28	0.16	17.9	19.8	0.17		0.44	0.2	1253.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	85-41-9	61.5	0.44	16.51	3.33	0.04	1.64	4.34	4.41	1.41		0.22	6.2	52.3	0.58	2.39	7.22	0.16	16.1	20.3	0.28		0.18	0.2	1213.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	85-44-3	53	0.8	17.56	5.93	0.15	3.78	7.65	3.8	0.55	0.04	0.2	6.58	52.5	0.59	3.14	6.23	0.15	16.4	20.9	0.28		0.63	0.2	1303.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	85-44-4	54.1	0.86	17.33	5.6	0.19	3.27	6.81	4.31	0.6	0.03	0.2	6.81	51.8	0.63	3.02	6.86	0.18	16	20.9	0.28		0.54	0.2	1283.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	85-44-5	55.7	0.9	17.12	5.31	0.13	2.68	5.86	4.86	0.7	0.07	0.22	6.46	52.1	0.67	3.06	6.99	0.19	15.8	20.9	0.29		0.46	0.2	1263.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	85-44-7	51.4	0.66	18.02	5.98	0.14	5.35	9.77	3.07	0.41	0.01		5.16	51.7	0.4	3.59	4.6	0.11	16.5	21.9	0.24		0.77	0.2	1363.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	A1.2	57.8	0.73	17.6	4.07	0.04	6.16	9.03	3.19	0.58		0.12		52.2	0.24	5.84	4.59	0.1	19.6	15.8	0.62		0.32	1.5	1573.15
